# Please note that there may be discrepancies between your electric bill and what Sense reports due to data interruptions (such as Wi-Fi signal loss or loss of power) or other issues.
DateTime,Device ID,Name,Device Type,Device Make,Device Model,Device Location,Avg Wattage,kWh
2019-10-01 00:00:00,3d02f6e5,Motor 2,Mystery Motor,,,,47.762,1.146
2019-10-01 00:00:00,0eaa3015,Fridge 2,Fridge,,,,25.275,0.607
2019-10-01 00:00:00,db06235e,Light 5,Light,,,,0.049,0.001
2019-10-01 00:00:00,bf2883ef,Appliance light,Appliance Light,,,,2.030,0.049
2019-10-01 00:00:00,mains,Total Usage,,,,,1451.017,34.824
2019-10-01 00:00:00,3610ab11,Coffee Maker,Coffee Maker,,,,2.512,0.060
2019-10-01 00:00:00,always_on,Always On,AlwaysOn,,,,195.012,4.680
2019-10-01 00:00:00,5de7982c,Coffee Maker 2,Coffee Maker,,,,161.150,3.868
2019-10-01 00:00:00,57448fd6,Light 6,Light,,,,0.253,0.006
2019-10-01 00:00:00,ff28cd40,Fridge,Fridge,,,,37.947,0.911
2019-10-01 00:00:00,7adf0382,Device 2,Mystery Device,,,,0.336,0.008
2019-10-02 00:00:00,db06235e,Light 5,Light,,,,0.060,0.001
2019-10-02 00:00:00,57448fd6,Light 6,Light,,,,0.473,0.011
2019-10-02 00:00:00,ff28cd40,Fridge,Fridge,,,,11.990,0.288
2019-10-02 00:00:00,3d02f6e5,Motor 2,Mystery Motor,,,,35.796,0.859
2019-10-02 00:00:00,0eaa3015,Fridge 2,Fridge,,,,30.085,0.722
2019-10-02 00:00:00,bf2883ef,Appliance light,Appliance Light,,,,1.068,0.026
2019-10-02 00:00:00,mains,Total Usage,,,,,618.849,14.852
2019-10-02 00:00:00,3610ab11,Coffee Maker,Coffee Maker,,,,1.982,0.048
2019-10-02 00:00:00,always_on,Always On,AlwaysOn,,,,187.723,4.505
2019-10-02 00:00:00,5de7982c,Coffee Maker 2,Coffee Maker,,,,56.184,1.348
2019-10-02 00:00:00,aa35b2bd,Heat 1,Mystery Heat,,,,5.300,0.127
2019-10-02 00:00:00,7adf0382,Device 2,Mystery Device,,,,0.444,0.011
2019-10-02 00:00:00,88971d7e,Motor 1,Mystery Motor,,,,22.234,0.534
2019-10-03 00:00:00,db06235e,Light 5,Light,,,,0.026,0.001
2019-10-03 00:00:00,57448fd6,Light 6,Light,,,,0.912,0.022
2019-10-03 00:00:00,ff28cd40,Fridge,Fridge,,,,25.494,0.612
2019-10-03 00:00:00,3d02f6e5,Motor 2,Mystery Motor,,,,11.111,0.267
2019-10-03 00:00:00,0eaa3015,Fridge 2,Fridge,,,,27.857,0.669
2019-10-03 00:00:00,bf2883ef,Appliance light,Appliance Light,,,,0.785,0.019
2019-10-03 00:00:00,mains,Total Usage,,,,,481.217,11.549
2019-10-03 00:00:00,3610ab11,Coffee Maker,Coffee Maker,,,,2.305,0.055
2019-10-03 00:00:00,always_on,Always On,AlwaysOn,,,,158.040,3.793
2019-10-03 00:00:00,5de7982c,Coffee Maker 2,Coffee Maker,,,,42.063,1.010
2019-10-03 00:00:00,017b97d2,Microwave,Microwave,,,,0.034,0.001
2019-10-03 00:00:00,7adf0382,Device 2,Mystery Device,,,,0.466,0.011
2019-10-03 00:00:00,88971d7e,Motor 1,Mystery Motor,,,,25.076,0.602
2019-10-04 00:00:00,db06235e,Light 5,Light,,,,0.034,0.001
2019-10-04 00:00:00,57448fd6,Light 6,Light,,,,0.511,0.012
